"Country Name","Country Code",Time Period,"Aluminum (PALUM_USD)","Copper  (PCOPP_USD)","Iron Ore (PIORECR_USD)","Lead  (PLEAD_USD)","Metal index  (PMETA_Index)","Nickel  (PNICK_USD)","Tin  (PTIN_USD)","Uranium  (PURAN_USD)","Zinc  (PZINC_USD)",
"World","001",1994M8,"1457.06823730469","2409.74997397766","11.45","570.568176269531","62.3995082968793","5856.13623046875","5173.31831375122","9.05","946.909118652344",
"World","001",1994M9,"1571.09094238281","2504.84103139343","11.45","612.954528808594","66.0179503595654","6370.681640625","5318.72715839233","9.45","993.545471191406",
"World","001",1994M10,"1694.26196289063","2546.02375416412","11.45","640.642883300781","69.3121264577143","6735.85693359375","5479.28570116882","9.5","1059.54760742188",
"World","001",1994M11,"1885.88635253906","2803.54541098175","11.45","679.321044921875","75.9891864992355","7474.54541015625","6139.09096548462","9.6","1150.27270507813",
"World","001",1994M12,"1878.375","2980.69999645081","11.45","634.375","77.7075293556642","8540.650390625","5935.50001380005","10.4","1112.75",
"World","001",1995M1,"2059.35717773438","3003.26189506836","12.27","664.809509277344","82.7946755576351","9596.1904296875","6187.61911367188","10.775","1154.8095703125",
"World","001",1995M2,"1905.44995117188","2870.45015814514","12.27","577.799987792969","77.2656735731521","8431.25","5431.00009616699","11.15","1030.67504882813",
"World","001",1995M3,"1799.97827148438","2919.67397804871","12.27","582.04345703125","75.0689561416294","7522.39111328125","5516.30431739197","11.8","1021.69567871094",
"World","001",1995M4,"1849.44445800781","2894.88882296448","12.27","605.777770996094","76.0438523771636","7405","5854.44416690063","11.85","1059.13891601563",
"World","001",1995M5,"1765.47619628906","2771.57125569763","12.27","595.880981445313","73.345902397957","7262.380859375","5924.52400956421","11.9","1036.61901855469",
"World","001",1995M6,"1775.79541015625","2987.68194348755","12.27","610.272705078125","75.564338697067","7877.27294921875","6646.81828855591","11.7","1007.77270507813",
"World","001",1995M7,"1867.27502441406","3076.4500581665","12.27","622.400024414063","78.5867616088899","8618","6640.75033574219","11.7","1028.05505371094",
"World","001",1995M8,"1890.04541015625","3040.13619641418","12.27","623.386352539063","78.9932214085458","8931.818359375","6966.13631591797","11.7","1015.47729492188",
"World","001",1995M9,"1761.72497558594","2910.42504276428","12.27","591.25","74.9295896432597","8397.25","6333.7498690979","11.85","988.025024414063",
"World","001",1995M10,"1671.95458984375","2810.06817431793","12.27","639.386352539063","72.2967195095255","8068.86376953125","6209.54555587158","11.85","980.431823730469",
"World","001",1995M11,"1655.92858886719","2981.61903664856","12.27","710.5","73.944318285506","8498.095703125","6381.6664451477","11.85","1033.1904296875",
"World","001",1995M12,"1657.81579589844","2918.21064537659","12.27","728.026306152344","73.1733948419093","8074.21044921875","6275.78978494263","11.85","1017.15789794922",
