commodity,msha_name,series,year,quarter,units,production,region,datastream price,bloomberg price,bloomberg * 100
gold,Gold Ore,USCGTSMQP,2003,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2003,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2003,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2003,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2004,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2005,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2006,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2007,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2008,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2009,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2010,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2011,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2012,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2013,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,3,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2014,4,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2015,1,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2015,2,"Volumes, not seasonally adjusted",,US,,,
gold,Gold Ore,USCGTSMQP,2015,3,"Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1995,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1996,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1997,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1998,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,1999,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2000,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2001,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2002,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2003,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2003,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2003,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2003,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2004,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2004,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2004,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2004,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2005,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2005,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2005,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2005,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2006,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2006,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2006,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2006,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2007,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2007,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2007,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2007,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2008,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2008,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2008,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2008,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2009,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2009,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2009,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
