commodity,msha_name,series,year,quarter,units,price
platinum,Platinum Group Ore,PLATFRE,1992,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1992,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1992,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1992,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1993,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1993,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1993,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1993,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1994,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1994,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1994,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1994,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1995,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1995,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1995,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1995,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1996,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1996,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1996,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1996,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1997,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1997,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1997,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1997,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1998,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1998,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1998,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1998,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1999,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1999,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1999,3,$/troy_ounce,
