commodity,msha_name,series,year,quarter,units,price_last
lead,,MBPBUSFP,2004,4,$/lb,
lead,,MBPBUSFP,2005,1,$/lb,
lead,,MBPBUSFP,2005,2,$/lb,
lead,,MBPBUSFP,2005,3,$/lb,
lead,,MBPBUSFP,2005,4,$/lb,
lead,,MBPBUSFP,2006,1,$/lb,
lead,,MBPBUSFP,2006,2,$/lb,
nickel,Nickel Ore,MBNIUSMP,1997,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1997,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1997,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1997,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1998,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1998,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1998,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1998,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1999,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1999,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1999,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,1999,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2000,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2000,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2000,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2000,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2001,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2001,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2001,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2001,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2002,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2002,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2002,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2002,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2003,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2003,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2003,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2003,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2004,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2004,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2004,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2004,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2005,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2005,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2005,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2005,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2006,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2006,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2006,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2006,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2007,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2007,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2007,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2007,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2008,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2008,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2008,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2008,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2009,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2009,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2009,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2009,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2010,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2010,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2010,3,$cents/lb,
